"rules","support","confidence","coverage","lift","count","pvalue_test"
"{FNDC9_1=1,FBXL22_1=1,RBM11_1_homo=1,APOBEC1_1_homo=1} => {grading=0}",0.0515873015873016,0.8125,0.0634920634920635,1.638,13,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,TMEM40_2=1,RMI1_1_homo=1} => {grading=0}",0.0476190476190476,0.8,0.0595238095238095,1.6128,12,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,FASTKD3_1_homo=1,RMI1_1_homo=1} => {grading=0}",0.0515873015873016,0.8125,0.0634920634920635,1.638,13,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,CHPT1_1=1,TMEM40_2=1} => {grading=0}",0.0396825396825397,0.909090909090909,0.0436507936507936,1.83272727272727,10,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,CHPT1_1=1,C1orf109_1=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,TMEM40_2=1,POLI_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{FHOD3_3=1,FBXL22_1=1,C1orf109_1=1,POLI_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,1.03663702715622e-10
"{FHOD3_3=1,FBXL22_1=1,TMEM40_2=1,RHBDF2_1_homo=1} => {grading=0}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.64945454545455,9,1.03663702715622e-10
"{FBXL22_1=1,CHPT1_1=1,DNASE2B_2=1,TXNRD1_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,RBM11_1_homo=1,COQ7_1_homo=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,1.49512485694478e-12
"{FBXL22_1=1,RNF149_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,6.31878750350325e-09
"{FBXL22_1=1,GSTM3_1=1,BCAT2_1=1,CD52_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
"{FBXL22_1=1,BCAT2_1=1,RBM11_1_homo=1,CD52_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,1.03663702715622e-10
"{FBXL22_1=1,LOC100506422_1=1,BCAT2_1=1,POLI_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
